2023-04-30 20:14:41 *	Now talking on #kerthchat
2023-04-30 23:03:50 <Doranwen>	AnnieM: Saaaaame…
2023-04-30 23:04:01 <KSaraSara>	Oh, Canadians ;)
2023-04-30 23:04:15 <KathyB>	LOL yes
2023-04-30 23:04:41 <KathyB>	It's her thing! The way mine used to be working a bathroom scene into every nfic LOL
2023-04-30 23:04:46 <Bek>	Congrats!
2023-04-30 23:04:50 <KSaraSara>	Yay!!!!! Gahhh! It was SUUUUUUUCH a good revelation!!
2023-04-30 23:04:53 <AnnaBtG>	Go girls!! Sweeping the awards tonight!!
2023-04-30 23:04:58 <KathyB>	oh wow oh wow
2023-04-30 23:05:06 <Toomi>	What's that about Canadians?
2023-04-30 23:05:07 <Demi2>	Congrats again
2023-04-30 23:05:09 <Darth_Michael>	Congratulations to the Trouble Twins!
2023-04-30 23:05:11 <Doranwen>	Congrats!
2023-04-30 23:05:11 <KSaraSara>	Kathy: LOL! I didn't realize that was a thing for you lol
2023-04-30 23:05:13 <Doranwen>	Toomi: LOL
2023-04-30 23:05:14 <bakasi>	No surprise there. Congrats you two
2023-04-30 23:05:20 <Blueowl_>	Congrats! 
2023-04-30 23:05:23 <Toomi>	We're not *all* Maple Leafs fans...
2023-04-30 23:05:29 <KSaraSara>	Toomi: all the love, that's what lol
2023-04-30 23:06:02 <Toomi>	All the love back :)
2023-04-30 23:06:46 <AnnieM>	omg yes, the bathroom scenes. I'm cracking up.
2023-04-30 23:07:04 <KathyB>	OMG did I not do it in WTHW????
2023-04-30 23:07:13 <KathyB>	See, we have to write the third part, just so I can do that 
2023-04-30 23:07:40 <Songbird2>	Yes, the third part! I can't wait!
2023-04-30 23:07:46 <Bek>	There definitely does need to be a third part!
2023-04-30 23:07:59 <Meadowlark>	KathyB, that is a great idea!
2023-04-30 23:08:11 <KSaraSara>	Gah, my brain cannot even... I mean...I can't remember! So I'll just have to reread all Kathy's nfic. Woe is me.
2023-04-30 23:08:12 *	bakasi agrees with Bek
2023-04-30 23:08:13 <AnnieM>	Uh, there definitely is a bathroom scene in WTHW
2023-04-30 23:08:37 <Songbird2>	Did I miss something? Did WTHW win best revelation?
2023-04-30 23:08:47 <Doranwen>	Rofl
2023-04-30 23:08:48 <KSaraSara>	Songbird: yep!
2023-04-30 23:08:54 <AnnaBtG>	It did!
2023-04-30 23:08:58 <KathyB>	LOL is there really? See, I REALLY need to reread this story!! hahaha
2023-04-30 23:09:07 <KSaraSara>	LOL Michael!!
2023-04-30 23:09:11 <Bek>	LOL
2023-04-30 23:09:18 <AnnaBtG>	Are we playing Judas Priest???
2023-04-30 23:09:20 <Doranwen>	Rofl
2023-04-30 23:09:30 <KathyB>	Also, can I just say, the Lana revelation in WTHW is so dear to my heart ... I'm totally verklempt over this honor 
2023-04-30 23:09:31 <AnnieM>	LOL Michael
2023-04-30 23:09:33 <KathyB>	<3
2023-04-30 23:09:43 <KSaraSara>	Hey now, one is decidedly called This is Not a Date... LOL
2023-04-30 23:09:43 <Songbird2>	Were the nominations listed? If so, I'm having a problem because they didn't appear on my scree?
2023-04-30 23:09:45 <AnnaBtG>	No, wait, I think only Pearl Jam tonight ...
2023-04-30 23:09:58 <Songbird2>	Congrats Annie & Kathy!
2023-04-30 23:10:02 <KSaraSara>	HAHA thrown under the bus for my wordiness lol
2023-04-30 23:10:51 <KSaraSara>	OMG The Kiss Off by CC and Erin!! Loved that one!
2023-04-30 23:11:57 <KathyB>	LOL Michael is killing it with his speeches
2023-04-30 23:11:58 <KSaraSara>	OOH
2023-04-30 23:12:05 <KathyB>	a TIE!!
2023-04-30 23:12:13 <AnnieM>	ooh, a tie! Fun!
2023-04-30 23:12:25 <KathyB>	YAY!!!
2023-04-30 23:12:32 <Bek>	Yay!! Congrats!!!
2023-04-30 23:12:33 <KSaraSara>	GAHH!!!
2023-04-30 23:12:38 <KathyB>	Both outstanding choices!!
2023-04-30 23:12:55 <AnnaBtG>	Congrats girls!! Sara and Sara and Annie!!
2023-04-30 23:13:00 <bakasi>	Congrats!
2023-04-30 23:13:01 *	Doranwen gestures towards stage to the winners
2023-04-30 23:13:08 <Blueowl_>	Ooo tie! Congrats!
2023-04-30 23:13:23 <KathyB>	LOL Sara is speechless. Literally 
2023-04-30 23:13:28 <Songbird2>	Yay! Congrats to Sara and Sara and Annie! 
2023-04-30 23:13:28 <Doranwen>	Lol
2023-04-30 23:15:00 <Demi2>	Yay, congratulations 
2023-04-30 23:15:03 <KathyB>	Oh, little abandoned cabin story! You deserve this honor!
2023-04-30 23:15:24 <KSaraSara>	Yay!! So good!!
2023-04-30 23:15:33 <KSaraSara>	And Yeah... I'm panic typing a speech now lol
2023-04-30 23:15:48 <Songbird2>	Ties
2023-04-30 23:16:00 *	Doranwen applauds the winners
2023-04-30 23:16:07 <Songbird2>	Ties are fun! 
2023-04-30 23:16:16 <KathyB>	you can type it in the window ... we won't mind :) 
2023-04-30 23:17:13 <Meadowlark>	Ties are fun.  Especially the ones Clark wears.
2023-04-30 23:17:18 <Doranwen>	Lol
2023-04-30 23:17:43 <KathyB>	hahahahaha
2023-04-30 23:17:47 <Songbird2>	LOL!
2023-04-30 23:18:02 <Darth_Michael>	yes, it's sure fun!
2023-04-30 23:18:07 <Songbird2>	Good one Meadowlark!
2023-04-30 23:18:14 *	Darth_Michael points at FDK
2023-04-30 23:18:47 <AnnaBtG>	@Meadowlark: hah I was just wishing for a tie in the next category I'm presenting so I could make that joke xD
2023-04-30 23:18:47 <KathyB>	I'm so glad SaraM didn't give up and SaraO finally buckled under the pressure!!
2023-04-30 23:18:51 <Darth_Michael>	LOL, like the actor needing to get pushed to take the Oscar role
2023-04-30 23:19:34 <Blueowl_>	That's hilarious 😂
2023-04-30 23:19:54 <Doranwen>	I think of Viggo Mortensen asking his son if he should take the role of Aragorn in LOTR, knowing it'd mean a big time commitment…  (Fortunately for all of us his son was like YES, Dad, DOOOOOOO ITTTTTTT)
2023-04-30 23:20:28 *	Bek applauds all the winners so far
2023-04-30 23:20:57 *	Darth_Michael has no idea how many ties there are. only my excel sheet knows
2023-04-30 23:21:36 <Doranwen>	Uh, yeah they can, lol
2023-04-30 23:21:46 *	Doranwen points to the ARGH
2023-04-30 23:21:56 <Doranwen>	Fic is *way* better.
2023-04-30 23:21:57 <KSaraSara>	OMG let's not talk about the ARGH lol
2023-04-30 23:23:09 <Doranwen>	Yeah, I think it was your font only, Sara - Annie's paste has curly apostrophes and they're not showing up weird.
2023-04-30 23:23:25 <KSaraSara>	Yess! Toomi finally explains the Kryptonite cage's disappearance to us!
2023-04-30 23:23:56 <Bek>	Congrats Toomi!
2023-04-30 23:23:57 <KathyB>	Congratulations, Toomi!!!
2023-04-30 23:24:00 <AnnaBtG>	Oooh congrats Toomi!!!
2023-04-30 23:24:02 <Doranwen>	Congrats Toomi!
2023-04-30 23:24:05 <KSaraSara>	Omg I didn't know she was the winner! LOL! I just was excited it was there!
2023-04-30 23:24:14 <Darth_Michael>	Congratulations, Toomi!
2023-04-30 23:24:20 <KSaraSara>	YAY TOOMI! Such a great way to make the end of HoL realistic!!
2023-04-30 23:24:21 <Songbird2>	Congrats Toomi!!
2023-04-30 23:24:38 <AnnieM>	Congrats, Toomi!
2023-04-30 23:24:55 <bakasi>	Congrats Toomi. It was really a great story
2023-04-30 23:24:59 <Demi2>	Yay, great story, congrats Toomi
2023-04-30 23:25:22 <Doranwen>	"A/n:  Thank you, weather"
2023-04-30 23:25:27 <KSaraSara>	LOL!
2023-04-30 23:25:34 <KathyB>	LOL Doranwen
2023-04-30 23:25:44 <KSaraSara>	Yes, I loved Henderson here!
2023-04-30 23:26:19 <Toomi>	I think far too many of my stories get a good start in the winter when I'm hiding from the weather :)
2023-04-30 23:26:48 *	KSaraSara is waiting patiently for her snowbound story from Toomi lol
2023-04-30 23:26:53 <Doranwen>	Lol
2023-04-30 23:27:20 <Toomi>	I told you.... an A plot took hold and ran off with it. You'll get it, eventually... but it'll be bigger.
2023-04-30 23:27:48 <AnnaBtG>	Time for my eye drops!
2023-04-30 23:28:50 <Darth_Michael>	Snowbound? LOL, there's a fascinating amount of stories where LnC are stuck in snow and ...stuff happens
2023-04-30 23:29:22 <Doranwen>	It's a classic fic trope :D
2023-04-30 23:31:03 <Toomi>	Yes. I thought I'd take a shot at a 'snowbound' fic. It was supposed to be a shorty but then I had a duel with my muse and lost. However, I did put my foot down when pirates were brought into it.
2023-04-30 23:31:13 <Doranwen>	LOL
2023-04-30 23:31:53 <AnnaBtG>	Hahaha
2023-04-30 23:33:12 <KSaraSara>	lol!
2023-04-30 23:33:21 <KSaraSara>	And LOL at the commercials!
2023-04-30 23:34:21 <AnnaBtG>	You can be beside yourself, literally!
2023-04-30 23:34:25 <AnnaBtG>	Lol!
2023-04-30 23:35:09 <KSaraSara>	OMG "It's perfect for parties or hostage situations!" *dies laughing*
2023-04-30 23:36:56 <AnnieM>	 OMG this song
2023-04-30 23:37:34 <Doranwen>	I've never actually listened to this song enough to know it.  Maybe I've heard it once?  But don't remember how it goes.
2023-04-30 23:38:18 <AnnaBtG>	Me neither, but the lyrics are awesome!! I'm going to listen to it as soon as I get an opportunity!
2023-04-30 23:39:02 <Doranwen>	I know I've heard it once, now that I think about it.  But I'll have to listen to it again to hear how the lyrics fit to it because I don't remember the melody at all.
2023-04-30 23:39:35 <Blueowl_>	Catching up. Congrats Toomi 😀
2023-04-30 23:41:48 <KSaraSara>	Thanks for being a digital packrat, Kathy!! (You're not alone in that lol)
2023-04-30 23:41:59 <Darth_Michael>	hear hear
2023-04-30 23:42:13 <Doranwen>	Digital packrat?  I resemble that remark XD
2023-04-30 23:42:19 <Darth_Michael>	the true reason why computer storage goes up an order of magnitude every couple of years
2023-04-30 23:42:26 <KSaraSara>	HAHA TRUTH
2023-04-30 23:42:26 <Darth_Michael>	nerds are horders
2023-04-30 23:42:35 *	Doranwen eyes her many hdds stuffed full of data from years and years ago.
2023-04-30 23:42:35 <KSaraSara>	^
2023-04-30 23:42:38 <AnnieM>	Thank goodness for Kathy and Sara and their digital packrat natures, because I personally save nothing and they have gifted me many gems I had long forgotten
2023-04-30 23:42:52 <KSaraSara>	Ack! I'm presenting again... bear with me lol
2023-04-30 23:42:57 <KathyB>	Unfortunately, sometimes in the wrong fandom, hahahha
2023-04-30 23:43:07 <Doranwen>	Lol
2023-04-30 23:43:07 <CRene>	I have lost so much stuff online because I didn't save it on other places.  Now I love the cloud.  
2023-04-30 23:43:37 <Blueowl_>	Yeah, I HATE losing electronic stuff so much, especially pics or vids
2023-04-30 23:43:37 *	Darth_Michael loves that contradictory statement by CarrieRene
2023-04-30 23:43:40 <Doranwen>	I have double backups now.  One stored here, one stored elsewhere.  I have too much data to put in the cloud.
2023-04-30 23:43:49 <Doranwen>	But I do store a few things up on Mega to make it easy to share.
2023-04-30 23:43:53 <AnnieM>	LOL true. Her packrat gifts derailed me into another fandom. BUT she also had saved all our old chatlogs from when we wrote Tea Totaled. And those were a joy to behold.
2023-04-30 23:44:18 <Doranwen>	I love AUs and elseworlds!  In pretty much any fandom
2023-04-30 23:44:32 <Doranwen>	He really is
2023-04-30 23:45:12 <AnnieM>	AUs are always my favorite categories. I love seeing the characters in a totally different scenario yet still themselves
2023-04-30 23:45:23 <Doranwen>	Yup
2023-04-30 23:45:33 <CRene>	I had a desktop that was built for me.  It had 3 drives on it.  I even had it moved to a external drive, but lost the drive.  So bye the first 4 years of pictures of my oldest child, plus stories, videos, and more.
2023-04-30 23:45:41 <Blueowl_>	Yeah, there can never be too many of them
2023-04-30 23:45:44 <KSaraSara>	Oh heck... the envelope made me lose the awards chat...
2023-04-30 23:45:48 <KathyB>	OMG, the chat logs from Tea Totaled were a joy to behold. Especially since you couldn't tell the difference in how we talk to each other from 20 years ago and today hahahah
2023-04-30 23:45:54 <KSaraSara>	The epic envelope fumble...
2023-04-30 23:46:09 <Darth_Michael>	oops
2023-04-30 23:46:19 <KathyB>	do you need me to paste?
2023-04-30 23:46:28 <Darth_Michael>	I thought it would just open in the back and be ready
2023-04-30 23:46:35 <Doranwen>	Lol, who needs to invent envelope fumbles?  They happen naturally easily enough! <g>
2023-04-30 23:47:17 <Darth_Michael>	@Kathy so, basically, you didn't learn anything to write better fics in the time since then?
2023-04-30 23:47:23 <KSaraSara>	Haha yes, paste the rest of the nominees, please! :D
2023-04-30 23:47:24 *	Darth_Michael eyes currents stats
2023-04-30 23:47:34 <Darth_Michael>	then again, why improve on percfection
2023-04-30 23:47:56 <Doranwen>	A much better response, lol
2023-04-30 23:48:13 *	KSaraSara has quit (Quit: Leaving)
2023-04-30 23:48:18 <Darth_Michael>	LOL
2023-04-30 23:48:27 <Darth_Michael>	should I?
2023-04-30 23:48:33 <Doranwen>	Poor Sara
2023-04-30 23:48:34 <Blueowl_>	The suspense XD
2023-04-30 23:48:41 <Doranwen>	Blueowl_: LOL yes!
2023-04-30 23:48:41 <AnnaBtG>	Sara amping up the suspense!
2023-04-30 23:48:45 <Doranwen>	It's perfect XD
2023-04-30 23:49:08 <Blueowl_>	Congrats!
2023-04-30 23:49:15 <Bek>	Congrats!!
2023-04-30 23:49:21 <bakasi>	Congrats!!!
2023-04-30 23:49:21 <Darth_Michael>	Congrats you perfect examples of authors!
2023-04-30 23:49:24 *	KSaraSara (~sara@cloak-D8945C1D.hsd1.nm.comcast.net) has joined
2023-04-30 23:49:30 <Demi2>	Congrats! 
2023-04-30 23:49:35 <KSaraSara>	LOL! Oh good grief...
2023-04-30 23:49:42 <AnnaBtG>	Go girls!!! Congrats Annie and Kathy!!
2023-04-30 23:49:43 <KSaraSara>	And CONGRATS to WTHW!!!
2023-04-30 23:49:48 <Blueowl_>	I'm rereading this story now :D
2023-04-30 23:50:16 <Doranwen>	Congrats
2023-04-30 23:50:19 <Doranwen>	!
2023-04-30 23:50:48 <Songbird2>	For some reason I'm not getting everything that is typed on the awards channel. Congrats to Annie and Kathy!
2023-04-30 23:51:01 <Doranwen>	Songbird2: You're logged in there as Songbird, without the 2.
2023-04-30 23:51:16 <Doranwen>	Do you have a separate browser window open for that one?
2023-04-30 23:51:35 <Songbird2>	Yes. I'm actually using two tablets
2023-04-30 23:51:42 <Doranwen>	Ah, OK, I do see you in there.
2023-04-30 23:52:07 <Doranwen>	You could try closing the Songbird one and re-joining it to see if that fixes whatever you're experiencing?
2023-04-30 23:52:13 <Doranwen>	Sometimes the close-and-restart method really does work, lol.
2023-04-30 23:52:31 <Songbird2>	Okay. I'll try that. Thanks! 
2023-04-30 23:52:37 <KSaraSara>	I actually got to be privy to a portion of that and gahhhhh!!
2023-04-30 23:52:59 <Darth_Michael>	oh, actually, @Doranwen, can you log in twice with the same name on the same server? or maybe just when you're using an authenicated user?
2023-04-30 23:53:10 <Doranwen>	No, you have to have different nicks.
2023-04-30 23:53:34 <Meadowlark>	There is backstory???  Maybe that is for Part 3/
2023-04-30 23:53:38 <Doranwen>	You can join two channels with both but with Mibbit you can't actually see them at the same time.
2023-04-30 23:53:40 <Darth_Michael>	hey, guys, the author name alone is reason to put this on the must-read list. 
2023-04-30 23:53:45 <AnnaBtG>	Hahahaha @KSaraSara !
2023-04-30 23:53:48 *	Darth_Michael eyes loooong list
2023-04-30 23:54:07 <Doranwen>	So the guide suggested opening two separate browsers - with separate nicks so the dual connection can happen.  Two different tablets/phones/etc. also would do the trick that way.
2023-04-30 23:54:27 <Doranwen>	Or even two different actual apps - there are IRC apps for phones after all, but not all are free and some can be tricky to work.
2023-04-30 23:54:33 <KSaraSara>	@Michael... better get those treats ready!
2023-04-30 23:54:35 <Doranwen>	Mibbit was far easier for a newbie to figure out.
2023-04-30 23:54:43 <Doranwen>	So that's why we went with that.
2023-04-30 23:55:08 <Doranwen>	But most phones can't do a split screen so you're kind of stuck if you only have a single phone to do it on.  Have to switch back and forth a lot.
2023-04-30 23:55:26 <Doranwen>	Songbird2: Are you seeing it OK now?
2023-04-30 23:55:40 <Darth_Michael>	yes, but if I offer one now, can you imagine Houdini dragging Bakasi off the stage during the speach?
2023-04-30 23:55:51 <Songbird2>	Yes, I think so. Thanks for all the help!
2023-04-30 23:55:52 <KSaraSara>	LOL!
2023-04-30 23:55:55 <Doranwen>	Excellent. :)
2023-04-30 23:56:33 <Songbird2>	Is this long story?
2023-04-30 23:56:34 *	Darth_Michael holds out envelope and treat
2023-04-30 23:56:40 <KSaraSara>	Yes, Songbird :)
2023-04-30 23:56:42 <Darth_Michael>	Houdini, fetch!
2023-04-30 23:56:48 <Songbird2>	Thanks!
2023-04-30 23:56:51 <KSaraSara>	LOL @Michael
2023-04-30 23:56:56 <Doranwen>	Lol
2023-04-30 23:57:09 <KSaraSara>	Yes it was SOOOO HARD TO CHOOSE (actually... all the categories were...)
2023-04-30 23:57:47 <KSaraSara>	Congrats again!!!!!
2023-04-30 23:57:49 <Darth_Michael>	Congratulations Annie and Kathy!
2023-04-30 23:57:51 <Songbird2>	Congrats Annie and Kathy!
2023-04-30 23:57:53 *	KSaraSara throws confetti
2023-04-30 23:57:57 <Doranwen>	Congrats!
2023-04-30 23:58:01 <Bek>	Congrats!!!
2023-04-30 23:59:12 <AnnaBtG>	Congratulations Annie and Kathy!!
2023-04-30 23:59:55 <Darth_Michael>	I'm sensing a pattern with Annie's stage presence
2023-05-01 00:00:01 <bakasi>	Again, congratulations.
2023-05-01 00:00:01 <KSaraSara>	lol
2023-05-01 00:00:12 <KathyB>	Thank you all! Annie wrote 90% of this story, so she deserves all the kudos. It was such a job working with her!!!
2023-05-01 00:00:12 <Doranwen>	Was just typing that, lol
2023-05-01 00:00:16 <Darth_Michael>	JOKER: I can make people die with laughter
2023-05-01 00:00:22 <Doranwen>	I've laughed till I cried with a few fics.
2023-05-01 00:00:50 <Demi2>	Congratulations 
2023-05-01 00:01:44 *	Demi has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:02:32 <KathyB>	LOL such a JOY! (/me slinks off in typo shame)
2023-05-01 00:02:43 <KathyB>	Another tie!!!
2023-05-01 00:02:56 *	Darth_Michael makes *whoosh* sound
2023-05-01 00:03:11 <Doranwen>	LOL, Kathy
2023-05-01 00:03:18 <KSaraSara>	AhhhhhhH!!!!
2023-05-01 00:03:23 <Bek>	Congrats!!!
2023-05-01 00:03:30 <Doranwen>	Congrats!
2023-05-01 00:03:31 *	Darth_Michael reads back
2023-05-01 00:03:33 <KSaraSara>	Toomi, you can go first!!
2023-05-01 00:03:35 <Darth_Michael>	LOK in deed, Kathy!
2023-05-01 00:03:52 <AnnaBtG>	Congrats Sara and Sara and Toomi!! Such fun stories! :)
2023-05-01 00:03:52 <Demi2>	Congratulations 
2023-05-01 00:03:56 <bakasi>	Congrats!
2023-05-01 00:04:00 <Doranwen>	LOK? XD
2023-05-01 00:04:05 <Songbird2>	Congrats Sara and Sara and Toomi!!
2023-05-01 00:04:11 <KathyB>	yay! Congrats S&S and T!
2023-05-01 00:04:16 <Darth_Michael>	Congratuations, Toomie and Sara & Sara!
2023-05-01 00:04:34 *	Darth_Michael tops Kathy's typos
2023-05-01 00:04:36 <Doranwen>	Toomi & Sara^2  <g>
2023-05-01 00:04:41 <KSaraSara>	lol
2023-05-01 00:04:48 <Doranwen>	Darth_Michael: Haha, I thought that was deliberate. <g>
2023-05-01 00:05:03 <KSaraSara>	Congrats, Toomi!!
2023-05-01 00:05:09 <CRene>	Sounds like a band name.
2023-05-01 00:05:25 <Doranwen>	Hee
2023-05-01 00:05:33 <AnnaBtG>	Hahah lovely speech @Toomi !
2023-05-01 00:05:39 <Doranwen>	Thanks for the obvious mic handoff, Toomi - makes it easy to know when you're done. :)
2023-05-01 00:06:19 <Toomi>	Haha. I was trying not to flee the stage. Hadn't thought I'd win anything so I have no idea what to say. 
2023-05-01 00:06:20 *	Doranwen has been guessing all afternoon.  "Are they finished talking?  Maybe?  I think?"
2023-05-01 00:06:40 *	Darth_Michael is just at the point when Lois invites Clark over for coffee in Pearl Jam!
2023-05-01 00:08:43 <KathyB>	LOL on the (u) for SaraM!
2023-05-01 00:08:52 <AnnieM>	LO(u)L
2023-05-01 00:08:55 <KSaraSara>	Hee hee
2023-05-01 00:09:07 <Bek>	LOL
2023-05-01 00:09:38 <Doranwen>	*snort*
2023-05-01 00:09:40 <KSaraSara>	ROTFL!!!
2023-05-01 00:09:42 <KSaraSara>	Omg Kathy
2023-05-01 00:10:22 *	Bek hides
2023-05-01 00:10:37 *	Darth_Michael shines slashlight at Bek's Kerth
2023-05-01 00:10:46 <AnnieM>	12 stories in your first year is awesome!
2023-05-01 00:11:19 <Darth_Michael>	Other Sara's here!
2023-05-01 00:11:50 <AnnaBtG>	@Darth_Michael: Slashlight sounds appropriately ficcy
2023-05-01 00:12:23 <KathyB>	LOL
2023-05-01 00:12:27 <KathyB>	nfic-y!
2023-05-01 00:12:33 *	Sara (Mibbit@cloak-283982CF.cpe.teksavvy.com) has joined
2023-05-01 00:12:34 <Darth_Michael>	LOLZ. I did mention typos, didn't I?
2023-05-01 00:12:36 <Songbird2>	Congrats Bek!! 12 fics is amazing! Thank you! 
2023-05-01 00:12:59 <AnnaBtG>	@Bek: congrats and we are so happy to have you here!!
2023-05-01 00:13:12 <Bek>	Ahh, thank you!!!
2023-05-01 00:13:12 <Doranwen>	It sounds like a different fandom, lol.  L&Cdom doesn't have much slash in it.  Now, Smallville, otoh…
2023-05-01 00:13:30 <KSaraSara>	Yes, we're so lucky to have Bek here!!!
2023-05-01 00:13:41 <Doranwen>	Agreed
2023-05-01 00:13:46 <Bek>	Thank you all for being so welcoming!! 
2023-05-01 00:13:46 <Darth_Michael>	Yes, though there are one or two fics with two Clarks in one bedroom.
2023-05-01 00:14:11 <KSaraSara>	HAH! Wouldn't that be a sight to see....?
2023-05-01 00:14:12 <Sara>	Managed to make it for some of it but I'm on my phone so I am not really "here" here. Congratulations Bek!!!
2023-05-01 00:14:31 <KathyB>	I did once read a Clark/Jimmy story years back ... but slash is indeed pretty rare in this fandom
2023-05-01 00:14:32 <Doranwen>	Yeah, didn't say it had none, just not a lot in comparison with some.  Someone on a Reddit post the other day was actually asking for fandom names that were almost entirely het, and I offered up L&C as an example.
2023-05-01 00:14:34 <Bek>	Hmmmm, two Clarks huh?
2023-05-01 00:15:08 <Doranwen>	So I hear!
2023-05-01 00:15:11 <KSaraSara>	Sounds... *inserts fire emojis*
2023-05-01 00:15:20 <Darth_Michael>	yep. on the nfanfic archive. one's Myxsplit
2023-05-01 00:15:25 <Darth_Michael>	by Sheila Harper
2023-05-01 00:15:33 <Darth_Michael>	if I'm not mistaken
2023-05-01 00:15:39 <KSaraSara>	That's right :)
2023-05-01 00:15:54 <KSaraSara>	And then Midnight Fantasies by Scribe (who is really Wendy Richards)
2023-05-01 00:16:10 <Bek>	Ah yep, that one.
2023-05-01 00:16:46 <KSaraSara>	YAY TIES!
2023-05-01 00:16:47 <Darth_Michael>	and we got one scene in the Season 5/6 stories where LnC body swap
2023-05-01 00:16:54 <KSaraSara>	LOL Toomi, nice one!
2023-05-01 00:16:55 <KathyB>	another tie! Yay, Clark will be happy!
2023-05-01 00:16:55 <Darth_Michael>	Oooh, tie!
2023-05-01 00:17:05 <KathyB>	(good one, toomi!)
2023-05-01 00:17:10 <AnnieM>	wow, another tie@
2023-05-01 00:17:25 <KathyB>	OMG
2023-05-01 00:17:34 <Doranwen>	Congrats!
2023-05-01 00:17:36 <Darth_Michael>	Congratuations, and it's not even a threeway!
2023-05-01 00:17:36 <KSaraSara>	Congrats!! Keeping your title of Queen of Waff intact!! LOL
2023-05-01 00:17:43 <Bek>	Congrats!
2023-05-01 00:17:48 <bakasi>	Congrats
2023-05-01 00:17:48 <AnnaBtG>	Annie there just not leaving anything to chance!!
2023-05-01 00:17:48 <KSaraSara>	OMG... threeway...
2023-05-01 00:17:52 <Darth_Michael>	is that a 1+1/2 tie?
2023-05-01 00:17:52 <Songbird2>	Wow! Double congrats Annie and Kathy! 
2023-05-01 00:17:59 <Demi2>	Another tie - congrats 
2023-05-01 00:18:00 <KathyB>	LOL maybe!
2023-05-01 00:18:06 *	KathyB hugs Annie on her way up to the stage
2023-05-01 00:18:10 <AnnaBtG>	Congrats Annie and Kathy!
2023-05-01 00:18:59 <Sara>	Woooooooo!
2023-05-01 00:19:25 <Darth_Michael>	meanwhile...
2023-05-01 00:19:38 <Darth_Michael>	and that's how you know when FoLCs are genuinly surpised at winnign
2023-05-01 00:19:49 <Darth_Michael>	no prepped speeches!
2023-05-01 00:20:23 *	Darth_Michael claps extra loudly
2023-05-01 00:20:31 <AnnaBtG>	Like anyone here is confident enough to have prepped a speech? Lol
2023-05-01 00:20:49 <Darth_Michael>	well, I did prep two for tonight :D
2023-05-01 00:21:17 <KSaraSara>	Haha right, Anna? #impostersyndrome is rampant...
2023-05-01 00:21:17 <Demi2>	:-D
2023-05-01 00:21:20 <AnnaBtG>	An *acceptance* speech, then. :)
2023-05-01 00:21:59 <Darth_Michael>	yep. we're authors. we need to be precise with our words.
2023-05-01 00:22:00 <KathyB>	LOL, yes, the KComm prepared ... you should see our several page long Google Doc with the entire presentation written out for us to paste!
2023-05-01 00:22:01 <KathyB>	haha
2023-05-01 00:22:16 <KathyB>	But awards? NOPE!!
2023-05-01 00:22:51 <Darth_Michael>	oh no!
2023-05-01 00:22:55 <KSaraSara>	Yeah, it's a miracle we haven't mis-pasted anything... wait... except for me lol
2023-05-01 00:23:07 *	Darth_Michael points at speech about alt-clark
2023-05-01 00:23:16 <Doranwen>	KSaraSara: Lol
2023-05-01 00:23:46 <Doranwen>	I need to read some of these stories!  I've been sort of scattered in my reading, so most of the newer ones I actually haven't read yet. <sg>
2023-05-01 00:24:08 <KSaraSara>	Yes! Read them all!! They're all amazing!! SOOO much good competition!!
2023-05-01 00:24:39 <Doranwen>	Oh, I plan on it, it's just… projects…  I tend to use reading fic as my reward for finishing another chunk of something.
2023-05-01 00:24:54 <Doranwen>	And I've been slowly wading through that enormously long VirginiaR WIP.
2023-05-01 00:26:26 <KSaraSara>	Hahaha it's the theme for tonight!!
2023-05-01 00:26:28 <CRene>	More ties
2023-05-01 00:26:37 <Darth_Michael>	@Doranwen: that is an awsome one, isn't it?
2023-05-01 00:26:52 <Darth_Michael>	and yes, a whole flight of ties, now!
2023-05-01 00:26:57 <AnnieM>	This is The Year of the Tie!
2023-05-01 00:27:16 <KSaraSara>	.... 
2023-05-01 00:27:26 <Doranwen>	Darth_Michael: Yes, I've really been enjoying it!
2023-05-01 00:27:27 <KSaraSara>	*cries...more than a little*
2023-05-01 00:27:30 <Bek>	YAY! CONGRATS!!!
2023-05-01 00:27:33 <Doranwen>	And congratulations!!!!!
2023-05-01 00:27:44 <AnnieM>	You have to go first this time, Sara ;)
2023-05-01 00:27:48 <Darth_Michael>	Congrats Sara and Annie and Kathy!
2023-05-01 00:27:48 <KSaraSara>	gahhhh
2023-05-01 00:27:48 <CRene>	Congrats.
2023-05-01 00:27:48 *	KathyB hugs Sara really really tightly!!!!
2023-05-01 00:27:51 <Songbird2>	Congrats Sara and Annie and Kathy!
2023-05-01 00:27:53 <Sara>	Twiiiiiiinnnnnniiiiiiieeeeeee!!!! *Tackle hugs* 
2023-05-01 00:28:00 <bakasi>	Congrats
2023-05-01 00:28:57 <bakasi>	Have fun. I'll bow out now. Houdini needs to go for a walk and I need to catch up on some sleep.
2023-05-01 00:29:17 *	bakasi has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:29:21 *	Darth_Michael KSaraSara was stuffing the ballot!
2023-05-01 00:29:39 <Darth_Michael>	*JK*
2023-05-01 00:29:47 <Doranwen>	LOL
2023-05-01 00:29:55 <KathyB>	LOL, she was competing against herself ... and won!
2023-05-01 00:30:22 <KathyB>	Proof of a stand out story <3
