2023-04-30 20:14:41 *	Now talking on #kerthawards
2023-04-30 23:03:49 <lovetvfan_sock>	It’s playoff season.
2023-04-30 23:03:51 <lovetvfan_sock>	Easy mistake to make, right? 
2023-04-30 23:04:01 <lovetvfan_sock>	Either way…the nominees are: 
2023-04-30 23:04:06 <lovetvfan_sock>	Drinks After Work by KSaraSara
2023-04-30 23:04:12 <lovetvfan_sock>	Kiss Me by SuperBek 
2023-04-30 23:04:15 <lovetvfan_sock>	Pencil It In by SuperBek
2023-04-30 23:04:18 <lovetvfan_sock>	What the Heart Wants by AnnieM and KathyB
2023-04-30 23:04:21 <lovetvfan_sock>	Yours to Discover (for Queen of the Capes) by KSaraSara 
2023-04-30 23:04:25 <lovetvfan_sock>	And the winner is…
2023-04-30 23:04:29 <lovetvfan_sock>	What the Heart Wants by AnnieM and KathyB
2023-04-30 23:04:41 <lovetvfan_sock>	Congratulations you two!
2023-04-30 23:04:54 *	Voice_Jockey removes voice from lovetvfan_sock
2023-04-30 23:05:13 <AnnieM>	Thanks so much, everyone! This revelation was truly a new one for me -- how do you write a revelation in a world where there is no Superman?
2023-04-30 23:06:02 <AnnieM>	It was so different from any of the other dozens of revelations I've written over the decades, and I'm so glad the readers appreciated it!
2023-04-30 23:07:52 <KathyB>	Yes, thank you everyone. I have to admit, as much as I love everything about this story, the revelation -- both of them -- is the section that is my ultimate favorite in the whole story.
2023-04-30 23:07:54 <KathyB>	So thank you!
2023-04-30 23:08:22 <KathyB>	And now, to present the award for Best Mid-Length Story, welcome back Michael!
2023-04-30 23:08:29 *	Darth_Michael comes back up to the stage
2023-04-30 23:08:34 <Darth_Michael>	Wow, can you believe that? 
2023-04-30 23:08:36 <Darth_Michael>	Clark Kent is Superman!
2023-04-30 23:08:39 <Darth_Michael>	Judas Priest…
2023-04-30 23:08:41 <Darth_Michael>	Next thing you’ll tell me, Lois Lane is actually Ultra Woman!
2023-04-30 23:08:43 <Darth_Michael>	Then again, it would explain her stout refusal to die no matter how many nefarious plots and dangerous haircuts she was subjected to over the years.
2023-04-30 23:08:54 <Darth_Michael>	Aaaanyhow, speaking on the subject of Lois’s love affair with dangerous situations, I just realized something:
2023-04-30 23:08:58 <Darth_Michael>	This category, which is so graciously called “Best Mid-Length Story”, should really be called “Best Date Story” this year.
2023-04-30 23:09:02 <Darth_Michael>	No, seriously, there’s four stories that are literally just a date and one that’s basically a date and its consequences.
2023-04-30 23:09:08 <Darth_Michael>	You can’t make that stuff up if you tried.
2023-04-30 23:09:14 <Darth_Michael>	And in years past, FoLCs did try to make that stuff up.
2023-04-30 23:09:17 <Darth_Michael>	A lot.
2023-04-30 23:09:23 <Darth_Michael>	So, Best Mid-Length Story, that’s anything from what KSaraSara calls a vignette to what the rest of us old timers…
2023-04-30 23:09:28 *	Darth_Michael eyes registration date
2023-04-30 23:09:31 <Darth_Michael>	(Yes, I’ll stick with “us”.)
2023-04-30 23:09:34 <Darth_Michael>	…calls one post a week for a month.
2023-04-30 23:09:39 <Darth_Michael>	Man, those were the times when an entire plot was done as a tragedy in four parts. 
2023-04-30 23:09:41 *	Darth_Michael listens to earwig
2023-04-30 23:09:44 <Darth_Michael>	Oh, yeah, sorry, we also had “date” stories in years past, too.
2023-04-30 23:09:48 <Darth_Michael>	There was one where Lois helped Clark get ready for a date with a mystery woman.
2023-04-30 23:09:52 <Darth_Michael>	Lucy playing a matchmaking Santa.
2023-04-30 23:09:55 <Darth_Michael>	Does Lois and Clark kissing for three parts straight on the top of her future Jeep’s hood count as a date?
2023-04-30 23:10:02 <Darth_Michael>	But we’re not here to honor those stories of Kerths past.
2023-04-30 23:10:08 <Darth_Michael>	Noooo…
2023-04-30 23:10:12 <Darth_Michael>	We’re here to honor this latest crop of stories about Lois and Clark being horny reporters working up the nerve to share a kiss, cause WAFFy feelings, and general comedic merriment.
2023-04-30 23:10:18 *	Darth_Michael listens again to earwig
2023-04-30 23:10:21 <Darth_Michael>	Okay, fine, I do realize that these are their own categories.
2023-04-30 23:10:25 <Darth_Michael>	I do pay attention, you know?
2023-04-30 23:10:29 <Darth_Michael>	Sorry about that, guys. 
2023-04-30 23:10:35 <Darth_Michael>	I’m sure you’ve all had this happen to you, plotting along, and then your friendly neighborhood Beta interjects with “they wouldn’t do that” or “you can’t do that”.
2023-04-30 23:10:41 <Darth_Michael>	And…surprise…the Beta is usually right, too.
2023-04-30 23:10:52 <Darth_Michael>	So, without much fanfare and in order to prevent the ushers from dragging me off the stage for going way too far off script, I give you this year’s nominees for the Best Mid-Length Story!
2023-04-30 23:11:01 <Darth_Michael>	Frankly My Dear, I Don't Like Pearl Jam by lovetvfan and KSaraSara
2023-04-30 23:11:01 <Darth_Michael>	In the Right Now by AnnieM
2023-04-30 23:11:01 <Darth_Michael>	Ficathon: Kiss Me (for Carrie Rene) by lovetvfan
2023-04-30 23:11:01 <Darth_Michael>	This Is Not A Date by KSaraSara
2023-04-30 23:11:01 <Darth_Michael>	Yours to Discover (for Queen of the Capes) by KSaraSara
2023-04-30 23:11:05 *	Darth_Michael waits for audience to erupt in applause
2023-04-30 23:11:10 <Darth_Michael>	What?
2023-04-30 23:11:12 <Darth_Michael>	Why are you not surprised?
2023-04-30 23:11:23 *	Darth_Michael listens once again to earwig
2023-04-30 23:11:26 <Darth_Michael>	Oh, yeah, sorry. 
2023-04-30 23:11:29 <Darth_Michael>	My bad. 
2023-04-30 23:11:32 <Darth_Michael>	The nominees are already very well known to everyone in attendance.
2023-04-30 23:11:36 <Darth_Michael>	Which means you’re all waiting for me to pull out another envelope, right?
2023-04-30 23:11:41 *	Darth_Michael pulls out another envelope
2023-04-30 23:11:45 <Darth_Michael>	And now, with very much fanfare…
2023-04-30 23:11:48 *	Darth_Michael slips open the envelope and peeks inside
2023-04-30 23:11:51 <Darth_Michael>	Yep.
2023-04-30 23:11:54 <Darth_Michael>	The winners are a tie! The first TIE of the evening!
2023-04-30 23:11:57 *	Darth_Michael ducks from strafing run
2023-04-30 23:12:03 <Darth_Michael>	Ahem, sorry about that... 
2023-04-30 23:12:07 <Darth_Michael>	Wrong fandom...
2023-04-30 23:12:11 <Darth_Michael>	So, I'm happy to congratulate...
2023-04-30 23:12:16 <Darth_Michael>	Frankly My Dear, I Don't Like Pearl Jam by lovetvfan and KSaraSara
2023-04-30 23:12:16 <Darth_Michael>	In the Right Now by AnnieM
2023-04-30 23:12:22 <Darth_Michael>	Congratulations! You've written such wonderful stories.
2023-04-30 23:12:47 *	Darth_Michael steps back to welcome back Annie & Sara
2023-04-30 23:13:06 <KSaraSara>	Uh... Annie can go first! lol
2023-04-30 23:13:16 <AnnieM>	LOL
2023-04-30 23:13:20 <AnnieM>	Well, first, it's such an honor to share this award with a story I loved so much! 
2023-04-30 23:14:00 <AnnieM>	And second, I'm so thrilled for this little abandoned cabin story! I wrote 90% of it, abandoned it for WTHW and forgot all about it, languishing on my harddrive
2023-04-30 23:14:34 <AnnieM>	Then I finally finished it, and by the time Kerth season rolled around, I had forgotten all about it again. Well, not forgotten really, but I thought it had been eligible last year and totally wasn't thinking about it at all
2023-04-30 23:15:14 <AnnieM>	I was shocked to see it nominated for awards, and I'm so thrilled for it to have won honor. It's my little story that could. It just refused to give up. So thanks everyone for remembering it!
2023-04-30 23:16:45 <KSaraSara>	Gahhh okay... my turn, I think!
2023-04-30 23:16:53 <KSaraSara>	Oh wow! I love that my first Kerth and Sara's first Kerth is for something we wrote together!! And I'm know she's wishing she could be here now! When we wrote our first story together (Love Me Back To Life), we never dreamed we'd write so well together and have so much fun! So when she approached me about a second idea... it went something like this...
2023-04-30 23:17:28 <KSaraSara>	Sara: I have an idea for our next story. We write the first date as if they actually went to the Pearl Jam concert.
2023-04-30 23:17:28 <KSaraSara>	Me: ... I don't like Pearl Jam and that sounds boring.
2023-04-30 23:17:45 <KSaraSara>	Sara: But... it'll be fun, trust me! Just think...
2023-04-30 23:18:14 <KSaraSara>	And it went on and on... she spent probably a good straight 10 mins in chat trying to convince me. And I RELUCTANTLY agreed!
2023-04-30 23:18:51 <KSaraSara>	But oh boy was I wrong because this was so amazing and such a joy to write! (Other than the Pearl Jam I made myself listen to lol)
2023-04-30 23:19:43 <KSaraSara>	Thank you to my Twinnie and partner in crime for being right and not giving up! And thank you to everyone who read and commented and enjoyed!! Thank you so much!!
2023-04-30 23:20:28 <KathyB>	Congratulations to all three authors in our first (only??) tie of the evening!
2023-04-30 23:20:56 <KathyB>	And now, for our last award before Intermission, to present the award for Best Episode Adaptation, welcome back AnnieM to the stage.
2023-04-30 23:21:26 <AnnieM>	Let’s be real for a minute….we all know the writers in this fandom can write circles around the actual show writers. 
2023-04-30 23:21:39 <AnnieM>	As much as we love the show – and clearly we do, since we are still here reading and writing about these characters 25 years later! – there are times we love to hate it too. 
2023-04-30 23:21:49 <AnnieM>	 Or even just times we know we could have taken a great idea and made it so much better.
2023-04-30 23:22:00 <AnnieM>	This category honors the stories that do exactly that – improve on the work of the original writers. 
2023-04-30 23:22:10 <AnnieM>	Sometimes an episode was ALMOST perfect, and the author gives it that final push by adding one little missing scene. 
2023-04-30 23:22:19 <AnnieM>	And sometimes the set up is perfect, but the author takes the story in a whole new, surprising direction. 
2023-04-30 23:22:29 <AnnieM>	These types of stories have always been among my favorite because they take those familiar moments from the screen and reimagine them on the page.
2023-04-30 23:22:39 <AnnieM>	Whether it’s a single scene or an epic tale, these stories start during a specific episode of the show and insert a scene, fix the episode, or veer off into a new universe of the author’s creation.
2023-04-30 23:22:46 <AnnieM>	This year’s nominees are…
2023-04-30 23:22:52 <AnnieM>	Aftershocks by Toomi8
2023-04-30 23:23:12 <AnnieM>	Coffee With Clark by KSaraSara 
2023-04-30 23:23:20 <AnnieM>	Fade to Black: Seasons Feelings by lovetvfan
2023-04-30 23:23:28 <AnnieM>	Frankly My Dear, I Don't Like Pearl Jam by lovetvfan and KSaraSara
2023-04-30 23:23:33 <AnnieM>	And the winner is....
2023-04-30 23:23:46 <AnnieM>	Best Adaption: Aftershocks by Toomi8
2023-04-30 23:23:50 *	Voice_Jockey gives voice to Toomi
2023-04-30 23:24:10 <Toomi>	Wow!!!!!
2023-04-30 23:24:12 <Toomi>	Thank you!
2023-04-30 23:24:41 <Toomi>	This story started in a scribbler while I was at work, avoiding the snow. 
2023-04-30 23:25:26 <Toomi>	It was supposed to be a few chapters, but kept growing and growing, and I fell even more in love with the Henderson character as I wrote it.
2023-04-30 23:25:38 <Toomi>	I'm so glad you all enjoyed it :)
2023-04-30 23:26:28 *	Voice_Jockey removes voice from Toomi
2023-04-30 23:26:36 <KathyB>	Great job, Toomi, and congratulations to all the winners in the first 8 categories!
2023-04-30 23:26:40 <KathyB>	Now it's time for a brief intermission
2023-04-30 23:27:29 <KathyB>	We're going to break for 10 minutes, so whatever your time zone, add 10 minutes to the clock. So in Eastern US time, it's 5:27 pm, so we'll be back at X:37
2023-04-30 23:27:41 <KathyB>	But don’t go too far! 
2023-04-30 23:27:51 <KathyB>	Because guess what I have? 
2023-04-30 23:28:02 <KathyB>	(For you to catch up on when you return)
2023-04-30 23:28:10 <KathyB>	RETRO COMMERCIALS! AND A SONG!
2023-04-30 23:28:25 <KathyB>	When Sara asked me if I’d act as MC for tonight, I went back into my hard drive to see if I had any old Kerth ceremony files. 
2023-04-30 23:28:34 <KathyB>	And boy did I hit paydirt! 
2023-04-30 23:28:44 <KathyB>	I found a script for the 2001 Kerth Awards, and FoLCs that year wrote a variety of fun commercials for us, as well a “Filk”, a song with lyrics changed to an L&C theme.
2023-04-30 23:28:54 <KathyB>	So whether or not you head to the kitchen or restroom during our break, be sure to enjoy this blast from the past!
2023-04-30 23:29:45 <KathyB>	* Commercial Break *
2023-04-30 23:29:50 <KathyB>	Have a bad day at work? The world getting you down? Come to  NELL'S DEATH RAY EMPORIUM! At NELL'S DEATH RAY EMPORIUM  we have death rays to meet your every need. They vaporize, they  atomize, they blow people up in hundreds of different ways. 
2023-04-30 23:29:59 <KathyB>	We  have everything from small death rays for the upset individual to  large death rays for those government organizations planning a  conspiracy. Listen to the testimony of our satisfied customers: 
2023-04-30 23:30:07 <KathyB>	"The death ray that I got from NELL'S DEATH RAY EMPORIUM let  me implement my evil scheme, and I almost killed Superman! Too  bad that Lois Lane intervened...." -Eric Press 
2023-04-30 23:30:15 <KathyB>	"The death ray I purchased from NELL'S DEATH RAY EMPORIUM  was top of the line. I used to take it out target shooting all the time.  It's a shame that I never got to use it in real life thanks to my lame  brain son, but it was a lovely death ray to be sure." -Mrs. Johnson 
2023-04-30 23:30:26 <KathyB>	"Hi. I'm Nell. Throughout the years, me death rays have helped  villains everywhere, and now I want to help you. I'm not just the  owner, I'm also a client. Here at NELL'S DEATH RAY EMPORIUM  we make our death rays from scratch, tailored just for you.  So come on down!" 
2023-04-30 23:30:33 <KathyB>	That's NELL'S DEATH RAY EMPORIUM, located in a lead-lined  underground shelter near you! 
2023-04-30 23:30:52 <KathyB>	(commercial written by Cindy Leuch ... in 2001!)
2023-04-30 23:31:20 <KathyB>	* Commercial Break *
2023-04-30 23:31:27 <KathyB>	Have you every wished for a remote control with a  BABBLE MODE OFF setting? 
2023-04-30 23:31:32 <KathyB>	YOUR PRAYERS HAVE BEEN ANSWERED! 
2023-04-30 23:31:39 <KathyB>	Introducing Dr. L's BABBLE-B-GONE! After years of extensive  research Dr. L has perfected the perfect silencer for those  times when your spouse or partner just can't shut up. 
2023-04-30 23:31:48 <KathyB>	It's perfect for parties or hostage situations. 
2023-04-30 23:32:01 <KathyB>	No spouse or investigative reporter should be without  BABBLE-B-GONE! 
2023-04-30 23:32:06 <KathyB>	Fits on any standard key-ring! Just point and click. 
2023-04-30 23:32:14 <KathyB>	Available for only 12 simple payments of $9.99.  And if you order right now we'll throw in at no extra charge a bottle of  Dr. L's ABS-IN-A-BOTTLE. 
2023-04-30 23:32:19 <KathyB>	Residents of New Troy subject to state taxes. 
2023-04-30 23:32:29 <KathyB>	(commercial written by James Tull ... in 2001!)
2023-04-30 23:32:43 <KathyB>	And now a word from our sponsor...
2023-04-30 23:32:50 <KathyB>	Is your computer too slow? Tired of waiting forever for things to process?  Save microseconds of time with NEW NK Tech microcircuits! From the  company that brought you the floating pleasure palace and amazing  flying men, NK Tech now brings you the newest revolution in supercomputing. 
2023-04-30 23:32:57 <KathyB>	Tired of going to class? NK Tech microcircuits can make a projection of you  that’s so real, the teacher will never know it’s not you! 
2023-04-30 23:33:03 <KathyB>	Want to be the life of the party? Bring a NK Tech microcircuit, and  you can be beside yourself, literally! 
2023-04-30 23:33:09 <KathyB>	You can customize your NK Tech microcircuit, as well. Nothing says,  "I love you" like your sweetie's name spelled out at the subatomic level! 
2023-04-30 23:33:17 <KathyB>	Order today, operators are standing by! WARNING: LONG distance call required. Get parent’s permission.
2023-04-30 23:33:30 <KathyB>	(commercial written by Cindy Leuch, in 2001)
2023-04-30 23:34:23 <KathyB>	And to give you an ear worm for the rest of the break ... we have a FILK
2023-04-30 23:34:49 <KathyB>	Sing along to the tune of "Cat's in the Cradle" by Harry Chapin.  And now ... "Kerths in the Cradle", by our very own Hazel :)
2023-04-30 23:35:05 <KathyB>	I logged online just the other day 
2023-04-30 23:35:16 <KathyB>	Checked my mail in the usual way 
2023-04-30 23:35:16 <KathyB>	There was a note from Erin that was on display
2023-04-30 23:35:25 <KathyB>	The Kerths were coming up without delay
2023-04-30 23:35:29 <KathyB>	And I was reading 'fore I knew it
2023-04-30 23:35:37 <KathyB>	My favorite picks
2023-04-30 23:35:44 <KathyB>	And I've got to nominate fics, yeah,
2023-04-30 23:35:50 <KathyB>	I've got to nominate some fics
2023-04-30 23:35:53 <KathyB>	.
2023-04-30 23:35:58 <KathyB>	And the fics are mounting and my time is short
2023-04-30 23:36:03 <KathyB>	A pin and closed eyes are my last resort
2023-04-30 23:36:07 <KathyB>	When you gonna nominate?
2023-04-30 23:36:12 <KathyB>	I don't know when
2023-04-30 23:36:17 <KathyB>	But I'll write to Erin then
2023-04-30 23:36:22 <KathyB>	You know I'll write to Erin then
2023-04-30 23:36:25 <KathyB>	.
2023-04-30 23:36:30 <KathyB>	I checked the quizzes just the other day
2023-04-30 23:36:35 <KathyB>	So much still to read and I'm not halfway
2023-04-30 23:36:40 <KathyB>	Nominations opened, I'm filled with dismay
2023-04-30 23:36:44 <KathyB>	My thoughts are all in great disarray
2023-04-30 23:36:49 <KathyB>	But I've got to get together
2023-04-30 23:36:54 <KathyB>	And choose the best picks
2023-04-30 23:36:58 <KathyB>	I've got to nominate fics, yeah,
2023-04-30 23:37:04 <KathyB>	I've got to nominate some fics
2023-04-30 23:37:06 <KathyB>	.
2023-04-30 23:37:13 <KathyB>	And the fics are mounting and my time is short
2023-04-30 23:37:20 <KathyB>	A pin and closed eyes are my last resort
2023-04-30 23:37:26 <KathyB>	When you gonna nominate?
2023-04-30 23:37:31 <KathyB>	I don't know when
2023-04-30 23:37:36 <KathyB>	But I'll write to Erin then
2023-04-30 23:37:41 <KathyB>	You know I'll write to Erin then
2023-04-30 23:37:46 <KathyB>	.
2023-04-30 23:37:52 <KathyB>	They posted nominees the other day
2023-04-30 23:37:57 <KathyB>	Such fabulous fics, might be time to pray
2023-04-30 23:38:01 <KathyB>	How to choose just one when they're all so good?
2023-04-30 23:38:06 <KathyB>	It doesn't seem like anyone could!
2023-04-30 23:38:11 <KathyB>	But the rules are clear, nothing else to be done,
2023-04-30 23:38:15 <KathyB>	I've got to vote for just one, yeah,
2023-04-30 23:38:19 <KathyB>	I'm gonna have to vote for just one
2023-04-30 23:38:21 <KathyB>	.
2023-04-30 23:38:27 <KathyB>	And the fics are mounting and my time is short
2023-04-30 23:38:34 <KathyB>	A pin and closed eyes are my last resort
2023-04-30 23:38:39 <KathyB>	When you gonna vote, FoLC?
2023-04-30 23:38:43 <KathyB>	I don't know when
2023-04-30 23:38:48 <KathyB>	But I'll fill the form out then
2023-04-30 23:38:52 <KathyB>	You know that I'll be voting then
2023-04-30 23:38:53 <KathyB>	.
2023-04-30 23:39:01 <KathyB>	Well, the Kerths are over and the fun's gone away
2023-04-30 23:39:07 <KathyB>	I logged back on just the other day
2023-04-30 23:39:12 <KathyB>	I was glad to see the archive going strong
2023-04-30 23:39:17 <KathyB>	With lots of new fics just humming along
2023-04-30 23:39:22 <KathyB>	And a warm'n'fuzzy feeling made me grin from ear to ear
2023-04-30 23:39:28 <KathyB>	Cause there'll still be Kerths next year, yeah
2023-04-30 23:39:33 <KathyB>	There's gonna be the Kerths next year
2023-04-30 23:39:40 <KathyB>	.
2023-04-30 23:39:41 <KathyB>	And as I turned off the modem it occurred to me
2023-04-30 23:39:46 <KathyB>	FoLCs are the best there can be
2023-04-30 23:39:51 <KathyB>	The very best fans to be
2023-04-30 23:39:58 <KathyB>	.
2023-04-30 23:40:03 <KathyB>	And the fics are mounting and my time is short
2023-04-30 23:40:08 <KathyB>	A pin and closed eyes are my last resort
2023-04-30 23:40:12 <KathyB>	When you gonna vote, FoLC?
2023-04-30 23:40:16 <KathyB>	I don't know when
2023-04-30 23:40:20 <KathyB>	But I'll fill the form out then
2023-04-30 23:40:25 <KathyB>	You know that I'll be voting then!
2023-04-30 23:40:42 <KathyB>	.
2023-04-30 23:40:51 <KathyB>	Whew! Sorry, I had to paste that line by line, LOL
2023-04-30 23:41:21 <KathyB>	Wild applause for that song and the retro commercials! I love how applicable the song, especially, still is ... TWENTY FIVE YEARS LATER!!
2023-04-30 23:42:22 <KathyB>	Welcome back, everyone! We’re excited to move on with the second half of our ceremony.
2023-04-30 23:42:39 <KathyB>	To present the award for Best Elseworlds/AU Story, come on up, KSaraSara!
2023-04-30 23:43:23 <KSaraSara>	Anyone who knows me (and even some who don’t, lol) knows that I’m a sucker for altClark. Yeah, yeah, there’s quite a list of things that make me go GAHHHH! But I have a special place in my heart for altClark. There’s just something about a Clark that doesn’t get his Lois in the same “easy” way as our canonClark does.
2023-04-30 23:43:47 <KSaraSara>	Best Elseworlds/AU honors those authors who have expanded on the alternate universe we saw on the show as well as those who have gifted us with their ability to build an entirely different universe—an elseworld. 
2023-04-30 23:44:08 <KSaraSara>	This year, our nominated stories include: altClark in yet a different universe, a Clark who is a pragmatic P.I. (in addition to Superman), a Clark who stayed in Smallville to teach English and coach football, a Clark who was abducted by Trask at a young age, and a Clark who was abducted by Trask at a young age.
2023-04-30 23:44:22 *	KSaraSara cries... Trask is so evil!
2023-04-30 23:44:31 <KSaraSara>	Needless to say, we all seem to be suckers for an alternate Clark who needs to overcome extraordinary circumstances to find his place in the world. 
2023-04-30 23:44:54 <KSaraSara>	The nominees for Best Elseworlds/AU Story are:
2023-04-30 23:45:01 <KSaraSara>	Anchor: Part 1 - Clark Kent by SuperBek
2023-04-30 23:45:06 <KSaraSara>	Investigate: Keeper by Blueowl
2023-04-30 23:47:46 <KathyB>	License to Love by bakasi
2023-04-30 23:47:54 <KathyB>	Savior by SuperBek
2023-04-30 23:48:02 <KathyB>	What the Heart Wants by AnnieM and KathyB
2023-04-30 23:48:11 <KathyB>	And the winner is…
2023-04-30 23:48:13 *	KSaraSara has quit (Quit: Leaving)
2023-04-30 23:48:43 *	KSaraSara (~sara@cloak-D8945C1D.hsd1.nm.comcast.net) has joined
2023-04-30 23:48:51 *	Voice_Jockey gives channel operator status to KSaraSara
2023-04-30 23:48:53 <KSaraSara>	Best Elseworld: What the Heart Wants by AnnieM and KathyB
2023-04-30 23:49:00 <KSaraSara>	Congrats!!!!
2023-04-30 23:49:20 <AnnieM>	Way to swoop in with the big reveal! Amping up the drama ;)
2023-04-30 23:50:03 <KathyB>	LOL yes, and I noticed that no one actually sent me the winner, so I had no idea who it was going to be. Sara returned just in time!
2023-04-30 23:50:09 <AnnieM>	Thanks so much, everyone. This is really my favorite category for fic in general. I love love love and AU. There's something so special about taking the characters out of their element and keeping them the same. 
2023-04-30 23:50:33 <AnnieM>	Especially in this fandom, where AUs reincarnation/soulmates are canon
2023-04-30 23:51:42 <AnnieM>	I've written a few short AUs in the distant past, but this was my first attempt at a true full-length AU, and creating this world was the most fun I've had in ages. I wish you all could be privvy to the hours and hours and hours of brainstorming that Kathy and I did, all the backstory that never made it into the story
2023-04-30 23:52:35 <AnnieM>	It was truly a joy to dream up this world, and we said over and over that even if no one else ever read it, we were writing it for ourselves and that was enough. But we're really really glad you all loved it too!
2023-04-30 23:52:52 *	Songbird has quit (Quit: https://mibbit.com Online IRC Client)
2023-04-30 23:52:58 <KathyB>	Thank you so much, everyone! We are so honored! This story was a labor of love ... to the point that "labor" probably isn't even the right term. Those hours of brainstorming were a joy. Thank you so much!
2023-04-30 23:53:16 <KathyB>	And now, to present the award for Best Long Story, we welcome Bakasi!
2023-04-30 23:53:23 *	KSaraSara whisper reminds Kathy not to say "labor" in the Kerth chats...
2023-04-30 23:53:28 *	Voice_Jockey gives voice to bakasi
2023-04-30 23:53:41 *	bakasi tries to work her way to the stage
2023-04-30 23:54:03 <bakasi>	Houdini tags along and tries to find DarthMichael to get another treat
2023-04-30 23:54:36 *	bakasi clears her throat and adjusts the mikrophone
2023-04-30 23:54:41 <bakasi>	Long stories can keep you company for weeks, if you read them as they’re posted – or you can get lost in them for hours on end. This year we had a lot of stories that had you feel with the characters, left you at the edge of your seat while the story unfold. 
2023-04-30 23:55:05 <bakasi>	The nominees are “Aftershocks” by Toomie8, a story in which Clark was more severely injured by his stay in Luthor’s cage. We got to see Clark dealing with the physical, but also the emotional fallout. But not only he was affected by the events.
2023-04-30 23:55:10 *	Songbird (Mibbit@cloak-BE5DFB2A.socal.res.rr.com) has joined
2023-04-30 23:55:17 <bakasi>	In Federal Disaster by lovetvfan, Lois had to work with Claude again and some long suppressed emotions bubbled up that wreaked havoc in the lives of our favorite couple. 
2023-04-30 23:55:27 <bakasi>	In Savior SuperBek had Lois rescue a damaged Clark, who’d been held by Trask for years and we were witnesses to Clark’s healing process.
2023-04-30 23:55:40 <bakasi>	The next nominee is KSaraSara’s So Far Away, a sequel to the fic “wherever you will go,” which she wrote years ago. Now, Clark has returned from New Krypton, but he carries a lot of scars on his soul that only Lois can help him heal.
2023-04-30 23:55:57 <bakasi>	Finally, there is “What the Heart wants by AnnieM and KathyB. The two authors explore an elseworld, in which Clark didn’t leave Smallville. When he and Lois meet by chance, sparks fly, but how could they make a long distance relationship work? 
2023-04-30 23:56:26 <bakasi>	Well, it was really hard to decide on this category, because all of them are so great.
2023-04-30 23:56:50 <bakasi>	And I'm sure that most readers found it equally challenging to pick the best
2023-04-30 23:57:13 <bakasi>	And the winner is...
2023-04-30 23:57:29 <bakasi>	Best long Stroy: What the Heart Wants by AnnieM and KathyB
2023-04-30 23:57:39 <bakasi>	Congrats you two!
2023-04-30 23:57:45 *	Voice_Jockey removes voice from bakasi
2023-04-30 23:58:10 <AnnieM>	y'all, I really don't know what to say at this point except thank you! We're totally overwhelmed by all the love.
2023-04-30 23:58:32 <KathyB>	Yes, we feel so honored by your support. We're so glad you loved the story as much as we do. <3
2023-04-30 23:59:24 <KathyB>	me hooks Annie with a crook to keep her on the stage
2023-04-30 23:59:32 <KathyB>	To present the award for Best Comedy, welcome back AnnieM!
2023-04-30 23:59:41 <AnnieM>	Ahh...Best Comedy
2023-04-30 23:59:45 <AnnieM>	What can we say?
2023-04-30 23:59:47 <AnnieM>	They make you laugh
2023-04-30 23:59:49 *	Demi_ (Mibbit@2BF9ACBE.E912E3C6.87CBF28.IP) has joined
2023-04-30 23:59:49 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has joined
2023-04-30 23:59:49 <AnnieM>	They make you cry
2023-04-30 23:59:52 <AnnieM>	Wait
2023-04-30 23:59:57 <AnnieM>	That's not right. They just make you laught.
2023-05-01 00:00:05 <AnnieM>	Although sometimes they make you laugh until you cry
2023-05-01 00:00:19 <AnnieM>	Comedy is an incredibly delicate art
2023-05-01 00:00:37 <AnnieM>	It takes true talent to find that sweet spot of hilarity that still rings true and genuine
2023-05-01 00:00:49 <AnnieM>	And doing it while keeping the characters true to themselves is an even bigger challenge
2023-05-01 00:01:14 <AnnieM>	This year we have fine hilarious contenders for the Best Comedy award. The nominees are...
2023-05-01 00:01:24 <AnnieM>	Astrologically Challenged by Anna B the Greek
2023-05-01 00:01:30 <AnnieM>	Conned by SuperBek
2023-05-01 00:01:32 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has left
2023-05-01 00:01:36 <AnnieM>	Frankly My Dear, I Don't Like Pearl Jam by lovetvfan and KSaraSara
2023-05-01 00:01:43 <AnnieM>	Inside A Fury's Mind by bakasi 
2023-05-01 00:01:44 *	Demi has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:01:51 <AnnieM>	Kryptonite Coffee by Toomi8 
2023-05-01 00:02:03 <AnnieM>	And the winner of Best Comedy goes to....
2023-05-01 00:02:36 <AnnieM>	It's another tie!
2023-05-01 00:03:11 <AnnieM>	The award goes to... Frankly My Dear, I Don't Like Pearl Jam by lovetvfan and KSaraSara AND Kryptonite Coffee by Toomi8
2023-05-01 00:03:16 *	Voice_Jockey gives voice to Toomi
2023-05-01 00:03:43 <Toomi>	Whoa! Thank you! 
2023-05-01 00:04:00 <Toomi>	And what a wonderful fic to share the award with :)
2023-05-01 00:04:54 <Toomi>	I love to make people laugh and if I managed to make you snort a little of your own, non Kryptonite flavored, coffee out of your nose, then I've succeeded :)
2023-05-01 00:05:11 <Toomi>	*hands mic to KSaraSara*
2023-05-01 00:05:17 *	Voice_Jockey removes voice from Toomi
2023-05-01 00:05:20 <KSaraSara>	Thanks, Toomi!!
2023-05-01 00:05:53 <KSaraSara>	And yes, delighted to share the award with Kryptonite Coffee! Such a fun story to read over and over for a quick laugh!
